symbol,days_listed,market_cap,volume_24h,avg_daily_volume,volume_stability
NULSUSDT,90,46866114.461368,437419.6239,6181463.077777778,0.9489701624517163
COSUSDT,90,42674085.61286657,2375864.1374944,780049982.3477778,1.3777495520632583
MTLUSDT,90,99168310.50849666,1197294.696,2863182.5722222226,1.0909521067666261
WANUSDT,90,47189045.18362234,401278.4881,4472255.0,1.2931304894912874
FUNUSDT,90,53258293.80584189,1059983.812467,691567521.8222222,2.1070883083295193
NKNUSDT,90,80621123.25653297,1060681.1442,26956775.744444445,0.7993526896504312
ARPAUSDT,90,80309193.07329227,1157806.311697,138349497.77111113,1.3650779577803114
VITEUSDT,90,15125733.26845747,875608.487328,335736398.9355556,1.5747066504584741
OGNUSDT,90,88640839.16166231,2441130.0012,43115356.322222225,1.5757057494161162
BNTUSDT,90,87209437.34978941,340097.93763,1736644.7277777777,0.7716514761089922
LTOUSDT,90,68282067.61754696,1369701.0141,18031060.844444446,1.4261491251009095
MBLUSDT,90,63583263.36112671,3094428.270364,1496562526.2333333,0.875157222027895
DATAUSDT,90,55710434.86233761,1122132.069443,49262949.739999995,1.056843316493703
ARDRUSDT,90,97982529.7228106,830510.88898,22079876.577777777,1.076347920343786
MDTUSDT,90,40770034.8102321,2907194.390232,79090472.51111113,1.613894446621002
STMXUSDT,90,71622237.2241289,2597402.938454,758967841.0888889,1.3713459819540774
KMDUSDT,90,44914312.546203,823513.9562,8162136.988888889,2.1349314152511956
DIAUSDT,90,93650051.7818087,935187.83628,9924244.633333337,1.3007636577912023
FIOUSDT,90,35002496.00269654,1932353.48067,109493819.92222223,0.6097739330357883
BELUSDT,90,45207475.31381944,3777250.11018,5874119.383333335,1.0005290050839557
WINGUSDT,90,29725390.3281195,1428625.43362,1069529.5226666667,1.6356741001813933
FLMUSDT,90,50722714.77862094,763874.5254,30431963.044444446,0.9160413713129899
UTKUSDT,90,66572497.71313194,8848249.53361,118217488.23333333,1.9770436155938231
ALPHAUSDT,90,80382123.51614632,1808063.2464,71706788.08888888,1.9643055747393596
HARDUSDT,90,19438214.15910488,1265889.2506,31468916.144444443,1.2685943657713106
AVAUSDT,90,84008789.0689474,8197410.2211,9165223.546666669,2.600441430295141
JUVUSDT,90,12660476.87754661,527090.1103,1141851.8231111108,0.8829543513780467
PSGUSDT,90,23635489.89784866,1541177.31031,1938214.3283333331,1.3303912508738989
OGUSDT,90,20411218.51476632,1793413.0222,3242180.4211111115,1.5052839414872992
ATMUSDT,90,12555106.38093491,647763.79694,1017503.7746666666,1.0091147574124377
ASRUSDT,90,13175010.76815665,1043072.8443,1080345.9044444445,0.9066111500316952
FIROUSDT,90,31143517.498753,1384336.7349,1922295.471111111,1.8447712109115109
LITUSDT,90,64250126.97503594,2089870.7691,3921176.836666667,1.0219263396074734
ACMUSDT,90,10726441.44992192,357258.3362,651674.1555555556,0.9432576082483108
BADGERUSDT,90,86289200.10894533,2192988.63211,974891.2021111113,0.9309301234995775
FISUSDT,90,52043138.75378306,5365156.1534,10353887.433333334,1.368543438727569
DEGOUSDT,90,63781057.41526638,3489837.60534,2539574.406888889,1.535949503527658
ALICEUSDT,90,86386100.84455985,2877471.26279,3361376.1264444445,0.8763666607245241
LINAUSDT,90,41156913.84497445,1464755.123212,770117651.116111,1.1365204261210926
PERPUSDT,90,54467056.73307864,1495106.180042,4009795.3972222223,1.391171588066549
TKOUSDT,90,81039498.05348773,1805735.41276,6847143.043333332,0.9458900563656265
TLMUSDT,90,83306815.1182878,4097028.94969,482912778.74444443,0.837994971031402
BARUSDT,90,21325212.34749911,756212.83873,1643415.5267777778,1.0168960571703656
FORTHUSDT,90,86218911.09935933,2170799.43621,573934.1695555556,1.2908440031560846
BAKEUSDT,90,79449792.19401684,2000674.73263,23780185.14222222,0.7024215918268361
BURGERUSDT,90,27894614.0442541,2342186.59061,7161541.357777777,0.8005076012621183
GTCUSDT,90,69781008.96782927,1272273.0529,4184033.5355555555,0.7375574656978813
ERNUSDT,90,65077459.64574695,698212.0919,1080899.1955555556,1.1418367262125746
MLNUSDT,90,54954158.1498164,764753.62307,124219.13377777777,1.4594199063349276
CLVUSDT,90,83338091.07907507,2071371.165233,196757650.03888893,2.5124335718373785
FARMUSDT,90,34227440.74164959,884494.837,48183.17491111112,2.1146628991777434
ALPACAUSDT,90,27639540.75331242,499295.13345,21860403.96111111,1.9522214787782723
QUICKUSDT,90,34647572.0393893,648204.47217,47075541.62222222,0.7071507248701097
MBOXUSDT,90,85630710.72280338,5079292.26756,32803827.091111116,0.5559794378070534
GHSTUSDT,90,57418275.60279821,869901.1203,4423012.718888889,1.0221143190698232
VIDTUSDT,90,28673899.9804697,2106955.10209,150906371.7,0.5504694239131209
