symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,marketCap
NULSUSDT,0.00030000,0.071,0.42373346,0.42330000,0.42390000,58.00000000,0.42380000,63.00000000,0.42410000,210.00000000,0.42360000,0.43240000,0.41760000,1032299.00000000,437419.6239,1735980224500,1736066624500,38956454,38966352,9899,46866114.461368
COSUSDT,0.00016100,1.987,0.00819784,0.00810000,0.00826200,692.20000000,0.00826200,2046.90000000,0.00826300,14865.10000000,0.00810100,0.00838700,0.00801500,289815843.00000000,2375864.1374944,1735980232844,1736066632844,59807318,59844939,37622,42674085.61286657
MTLUSDT,0.02900000,2.352,1.23696605,1.23400000,1.26200000,17.90000000,1.26200000,3414.20000000,1.26300000,2201.20000000,1.23300000,1.26500000,1.21700000,967928.50000000,1197294.696,1735980230681,1736066630681,52248913,52262079,13167,99168310.50849666
WANUSDT,-0.00030000,-0.126,0.23825904,0.23870000,0.23840000,210.00000000,0.23840000,41.00000000,0.23860000,491.00000000,0.23870000,0.24140000,0.23600000,1684211.00000000,401278.4881,1735980231919,1736066631919,23570203,23581437,11235,47189045.18362234
FUNUSDT,-0.00006300,-1.276,0.00493732,0.00494300,0.00487500,6158.00000000,0.00487400,46497.00000000,0.00487500,194.00000000,0.00493800,0.00508100,0.00484000,214688013.00000000,1059983.812467,1735980237262,1736066637262,38798809,38817963,19155,53258293.80584189
NKNUSDT,0.00010000,0.097,0.10237068,0.10310000,0.10330000,237.00000000,0.10310000,47971.00000000,0.10320000,4031.00000000,0.10320000,0.10410000,0.10080000,10361181.00000000,1060681.1442,1735980231547,1736066631547,43683181,43697378,14198,80621123.25653297
ARPAUSDT,-0.00048000,-0.896,0.05317662,0.05360000,0.05311000,12737.30000000,0.05310000,5719.10000000,0.05312000,10530.90000000,0.05359000,0.05406000,0.05236000,21772843.50000000,1157806.311697,1735980228871,1736066628871,74774930,74788407,13478,80309193.07329227
VITEUSDT,-0.00009000,-0.654,0.01369159,0.01378000,0.01367000,15803.40000000,0.01367000,105311.60000000,0.01369000,25630.20000000,0.01376000,0.01398000,0.01334000,63952296.90000000,875608.487328,1735980224511,1736066624511,34231573,34248213,16641,15125733.26845747
OGNUSDT,0.00000000,0.000,0.12855287,0.12750000,0.12760000,2841.00000000,0.12750000,12624.00000000,0.12760000,6802.00000000,0.12760000,0.13190000,0.12600000,18989308.00000000,2441130.0012,1735980217306,1736066617306,72112716,72129706,16991,88640839.16166231
BNTUSDT,0.00240000,0.328,0.72927147,0.73140000,0.73360000,7.00000000,0.73310000,60.90000000,0.73340000,28.00000000,0.73120000,0.73860000,0.72010000,466353.00000000,340097.93763,1735980225348,1736066625348,28969218,28977762,8545,87209437.34978941
