symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,marketCap
NULSUSDT,-0.00050000,-0.118,0.42303538,0.42290000,0.42240000,30.00000000,0.42170000,30.00000000,0.42210000,479.00000000,0.42290000,0.42940000,0.41710000,1117218.00000000,472622.7385,1736009531999,1736095931999,38960641,38971117,10477,46821531.26123899
COSUSDT,0.00003800,0.469,0.00819822,0.00810200,0.00814100,2379.30000000,0.00813600,4728.10000000,0.00813700,4274.90000000,0.00810300,0.00838700,0.00805600,276070689.10000000,2263287.3617058,1736009531657,1736095931657,59822566,59859328,36763,42137514.67516903
MTLUSDT,0.01800000,1.465,1.24491497,1.23000000,1.24700000,1979.20000000,1.24500000,2665.70000000,1.24700000,5005.30000000,1.22900000,1.27400000,1.21900000,1269986.10000000,1581024.7116,1736009532850,1736095932850,52253001,52270731,17731,98148288.57770748
WANUSDT,-0.00010000,-0.042,0.23785976,0.23750000,0.23730000,114.00000000,0.23720000,165.00000000,0.23740000,856.00000000,0.23740000,0.24040000,0.23430000,1365255.00000000,324739.2204,1736009532383,1736095932383,23575923,23584988,9066,47026634.00827104
FUNUSDT,-0.00009500,-1.930,0.00486369,0.00492300,0.00482800,42168.00000000,0.00482800,14373.00000000,0.00482900,83229.00000000,0.00492300,0.00493500,0.00478600,209498594.00000000,1018936.628345,1736009529337,1736095929337,38808182,38825269,17088,51912726.39200267
NKNUSDT,0.00020000,0.197,0.10230922,0.10150000,0.10170000,3348.00000000,0.10150000,44083.00000000,0.10160000,3465.00000000,0.10150000,0.10410000,0.10060000,9996835.00000000,1022768.3444,1736009531483,1736095931483,43689323,43702431,13109,79527983.15738302
ARPAUSDT,-0.00018000,-0.341,0.05304302,0.05281000,0.05267000,617.00000000,0.05266000,833.40000000,0.05267000,6352.30000000,0.05285000,0.05394000,0.05232000,21499434.20000000,1140394.837022,1736009532270,1736095932270,74782089,74797531,15443,80113904.21246947
VITEUSDT,-0.00018000,-1.305,0.01361215,0.01378000,0.01361000,793.60000000,0.01361000,658.30000000,0.01362000,1137.80000000,0.01379000,0.01389000,0.01334000,51791438.60000000,704992.772283,1736009531315,1736095931315,34238610,34252369,13760,15079421.35908802
OGNUSDT,-0.00290000,-2.248,0.12737391,0.12890000,0.12610000,834.00000000,0.12600000,19334.00000000,0.12610000,10510.00000000,0.12900000,0.12980000,0.12480000,18431973.00000000,2347752.4458,1736009532850,1736095932850,72120824,72137062,16239,87805868.13406828
BNTUSDT,0.00100000,0.138,0.72963215,0.72660000,0.72750000,31.70000000,0.72660000,161.50000000,0.72700000,56.00000000,0.72650000,0.73840000,0.71980000,439548.00000000,320708.35286,1736009532961,1736095932961,28973015,28980176,7162,86840244.2423346
LTOUSDT,0.00000000,0.000,0.15610174,0.15630000,0.15640000,131.00000000,0.15620000,2125.00000000,0.15640000,803.00000000,0.15640000,0.15830000,0.15380000,7982462.00000000,1246076.2262,1736009531741,1736095931741,37366082,37379242,13161,67896012.27913937
